"Event Unique ID","Title","Event Status","Organization","Organization Type","Organization Shipping Address - Street Address","Address line 2","Organization Shipping Address - City","Organization Shipping Address - State","Organization Shipping Address - Zip","Organization Facebook Address","Organization Instagram Address","Organization Twitter @Username","Organization Website","URL","Event Type","Content Area","Target Audience","Special Audiences","Event Date(s)","Event Venue or Facility Name","Street Address","Address line 2","City","State","Zip code","NC County","Coordinates","Cost for Festival Participants","Single Event Price","Event Description","Event Website","In-person/Online"
3467,"Flora and Fauna Nature Journaling/Talk ","Accepted","Goose Creek State Park","State Park","2190 Camp Leach Rd",,"Washington","North Carolina",27889,,,,,"http://www.ncsciencefestival.org/events/flora-and-fauna-nature-journalingtalk","Hands-On, Outdoor Event, Tour","Art & Design, Environment","Families",,"04/12/2025 - 10:00am to 11:30am","Goose Creek State Park ","2190 Camp Leach Rd",,"Washington","North Carolina",27889,"Beaufort","POINT (-76.9018509 35.4778608)","FREE",,"<p>Come draw and learn about flora and fauna at Goose Creek State Park! As we walk through our park's wetlands, we will talk about the ecology and wildlife that we pass by. Participants will receieve a nature journal to capture their new discoveries.Â </p>
",,"In-person"
3468,"City Nature Challenge 2025","Accepted","Greensboro Science Center","Museum/Science Center","Greensboro Science Center","4301 Lawndale Drive","Greensboro","North Carolina",27455,"@GreensboroScienceCenter","greensborosciencecenter","@GreensboroSC","www.greensboroscience.org","http://www.ncsciencefestival.org/events/city-nature-challenge-2025","Outdoor Event","Life Sciences, Environment","Children, Teens, Families, Adults, Special Audience","Scouts, seniors","04/25/2025 - 12:00am to 11:30pm 04/26/2025 - 12:00am to 11:30pm 04/27/2025 - 12:00am to 11:30pm 04/28/2025 - 12:00am to 11:30pm","Greensboro Science Center","Greensboro Science Center","4301 Lawndale Drive","Greensboro","North Carolina",27455,"Guilford","POINT (-79.8334197 36.1296495)","FREE",,"<p>Join the Greensboro Science Center in the City Nature Challenge 2025 to see which city/region can document the most species from April 225-28! Itâ€™s easy to participate by making observations using the free iNaturalist app. Using the app, take a picture of a plant or animal in your backyard, local park or wild area, submit it, and the community will help identify the species and support science. You can also help with IDs for other peopleâ€™s observations to increase our species count! All observations made in Guilford County will be counted during the four-day challenge.</p>
<p>For more information, contact Courtenay Vass, cvass@greensboroscience.org</p>
<p>Bonus! Observations may also be used for ecoEXPLORE, a citizen science nature exploration aimed at kids grades K-8 (<a href=""http://www.ecoexplore.net/"">www.ecoexplore.net</a>).</p>
","https://www.inaturalist.org/projects/city-nature-challenge-2025-piedmont-nc","Virtual"
3469,"Sensory Friendly Science Night","Accepted","Greensboro Science Center","Museum/Science Center","Greensboro Science Center","4301 Lawndale Drive","Greensboro","North Carolina",27455,"@GreensboroScienceCenter","greensborosciencecenter","@GreensboroSC","www.greensboroscience.org","http://www.ncsciencefestival.org/events/sensory-friendly-science-night-0","Hands-On, Indoor Event, Outdoor Event","Life Sciences, Earth & Space Sciences, Environment","Pre-K, Children, Teens, Families, Adults, Special Audience","Families/Guests with sensory-related challenges","04/17/2025 - 5:30pm to 8:00pm","Greensboro Science Center","Greensboro Science Center","4301 Lawndale Drive","Greensboro","North Carolina",27455,"Guilford","POINT (-79.8334197 36.1296495)","My event has a fee","$5 ages 3 and up; Free for Members","<p>Join us for an after-hours event designed specifically for guests with sensory-related challenge (like Autism Spectrum Disorder) and their families! The Zoo will be open until 7:00, with the Museum and Aquarium open until 8:00. Weâ€™ll have hands-on science experiments to try â€“ without the crowds and noise of a daytime visit.</p>
<p>Go toÂ <a href=""http://www.greensboroscience.org/"">www.greensboroscience.org</a>, and click on â€œVisitâ€ and â€œKnow Before You Goâ€ to find our Science for All accessibility initiatives for a visit anytime!</p>
","https://www.greensboroscience.org","In-person"
3470,"Statewide Star Party: Three Bears Nature Preserve","Accepted","Triangle Land Conservancy","Non-profit","520 S Duke St.",,"Durham","North Carolina",27701,"https://www.facebook.com/trianglelandconservancy","https://www.instagram.com/trianglelandconservancy/",,"https://www.triangleland.org/","http://www.ncsciencefestival.org/events/statewide-star-party-three-bears-nature-preserve-0","Hands-On, Outdoor Event, Tour, Stargazing","Life Sciences, Earth & Space Sciences, Science & Society, Environment","Pre-K, Children, Teens, Families",,"04/04/2025 - 6:00pm to 10:00pm","Three Bears Nature Preserves","711 Beaver Dam Rd",,"Creedmoor","North Carolina",27522,"Wake","POINT (-78.6601849 36.0513434)","FREE",,"<p>Come explore the cosmos with us at Triangle Land Conservancy's Three Bears Nature Preserve in Creedmoor!Â Travel on a hike through the solar system to get to our stargazing site. When you are done dodging asteroids and learning about the planets, take a pit stop at each of our activity tables to solve the riddle for â€œOperation: Earth Monthâ€. During the activities you will explore the wonders of our solar system, learn star stories, and uncover how astronomy inspires and benefits everyone, every day! When dark begins to fall, we will play some nighttime games and end with an opportunity to look through real telescopes provided by the Raleigh Astronomy Club!Â </p>
<p><strong>This is a free event butÂ pre-registration is required.</strong></p>
<p>Accessible indoor toilets will be available onsite, and the event will take place along gravel paths and a large grassy field.Â The main parking area is about a 0.15 mile walk from the main event area; however, there will be closer parking available for those who need it. This is a completely outdoor event, and we suggest you bring chairs and blankets, extra layers to keep warm, and a few snacks and a water bottle. We canâ€™t wait to see you among the stars at our Three Bears Nature Preserve!Â Â </p>
<p>NCSciFest's annual Statewide Star Party is made possible through the generous support of theÂ <a href=""https://ncspacegrant.ncsu.edu/"">NC Space Grant</a>.</p>
","https://triangleland.org/event/save-the-date-statewide-star-party?instance_id=1438","In-person"
3471,"STEM Night for Scouts","Accepted","Schiele Museum","Museum/Science Center","1500 East Garrison Blvd.",,"Gastonia","North Carolina",28054,"https://www.facebook.com/schielemuseum/","@schielemuseum","@The_Schiele","schielemuseum.org","http://www.ncsciencefestival.org/events/stem-night-scouts","Hands-On, Indoor Event","Earth & Space Sciences, Physics, Engineering, Science & Society","Special Audience","Girl or Boy scout groups","04/11/2025 - 6:30pm to 10:00pm","Schiele Museum of Natural History and Planetarium","1500 East Garrison Blvd.",,"Gastonia","North Carolina",28054,"Gaston","POINT (-81.1589718 35.2532217)","My event has a fee","$30 ","<p>Have a fun-filled evening in the Schiele Museum without spending the night. Enjoy activities like a Meet the Animals program or a planetarium show, then go on an evening exploration of the museum exhibits and The Farm. STEM for Scouts includes an evening snack and a museum patch for each participant.</p>
<p><strong>$30 per participant with 1 free adult for every 10 paying participants.</strong></p>
<p><strong>Preregistration is required.Â  Call 704-866-6910 or email Vanesa.Chavez@gastonianc.gov.</strong></p>
","https://www.schielemuseum.org/schiele-news/schiele-scouting/","In-person"
3472,"Through The Looking Glass","Accepted","Schiele Museum","Museum/Science Center","1500 East Garrison Blvd.",,"Gastonia","North Carolina",28054,"https://www.facebook.com/schielemuseum/","@schielemuseum","@The_Schiele","schielemuseum.org","http://www.ncsciencefestival.org/events/through-looking-glass-0","Hands-On, Indoor Event, Outdoor Event, Stargazing","Earth & Space Sciences, Physics, Engineering, Science & Society","Pre-K, Children, Teens, Families, Adults",,"04/04/2025 - 7:00pm to 9:00pm","Schiele Museum of Natural History and Planetarium","1500 East Garrison Blvd.",,"Gastonia","North Carolina",28054,"Gaston","POINT (-81.1589718 35.2532217)","My event has a fee","$8 Members / $10 General Public","<p>Perfect for a date night or a friendsâ€™ night out, visit the James H. Lynn Planetarium for a special Friday evening presentation!Â Watch a live planetarium show and view the night sights such as the moon and planets with our telescope!</p>
<p>Reserve your tickets early.</p>
","https://www.schielemuseum.org/","In-person"
3477,"Earth Day","Accepted","Schiele Museum","Museum/Science Center","1500 East Garrison Blvd.",,"Gastonia","North Carolina",28054,"https://www.facebook.com/schielemuseum/","@schielemuseum","@The_Schiele","schielemuseum.org","http://www.ncsciencefestival.org/events/earth-day-1","Hands-On, Indoor Event, Outdoor Event","Earth & Space Sciences, Science & Society, Environment","Pre-K, Children, Families, Adults",,"04/22/2025 - 10:00am to 2:00pm","Schiele Museum of Natural History and Planetarium","1500 East Garrison Blvd.",,"Gastonia","North Carolina",28054,"Gaston","POINT (-81.1589718 35.2532217)","My event has a fee","$3 + general admission","<p>Earth is the greatest planet in the solar system because itâ€™s our home! Enjoy a day filled with fun recycled crafts, hands on activities to learn about our home planet, and explore ways you can help protect our precious blue marble!</p>
","https://schielemuseum.org","In-person"
3478,"Space Day at PARI!","Accepted","The Pisgah Astronomical Research Institute","Non-profit","1 PARI Drive",,"Rosman","North Carolina",28772,,"@pariastronomy","pisgahastronomical","pari.edu","http://www.ncsciencefestival.org/events/space-day-pari","Hands-On, Indoor Event, Outdoor Event","Earth & Space Sciences","Children, Teens, Families, Adults",,"04/26/2025 - 10:00am to 4:00pm","Pisgah Astronomical Research Institute","1 Pari Dr",,"Rosman","North Carolina",28772,"Transylvania","POINT (-82.8725322 35.1990363)","FREE",,"<p>PARI's annual Space Day open house is free and open to the public. Join us for a day of fun and STEM learning! Admission is free, but there will be some optional paid activities.Â </p>
<ul>
<li>Take in our museum galleries with NASA and space artifacts, over a thousand mineral specimens and gems, meteorites, and more!</li>
<li>Peek through a solar telescope to safely observe the Sun (weather permitting)!</li>
<li>Journey through our solar system on the Galaxy Walk, our scale model of our home in the universe.</li>
<li>Visit the activity tables for fun stuff for kids.</li>
<li>Immerse yourself in outer space with a planetarium show (requires a $5 separate ticket, purchased day of).</li>
<li>Enjoy a meal from a local food vendor! (food must be purchased)</li>
<li>Hike up to our observation deck for beautiful views!</li>
<li>Come see our 9-story tall radio telescopes, designed by NASA to communicate with satelites!Â </li>
</ul>
<p>Come by and bring your family and friends. It's the perfect day to experience what we're all about and learn about our home in the universe!</p>
","https://www.pari.edu/calendar/","In-person"
3479,"Wild Weekend","Accepted","Piedmont Wildlife Center","Non-profit","364 Leigh Farm Rd",,"Durham","North Carolina",27707,"https://www.facebook.com/piedmontwildlifecenter/","https://www.instagram.com/piedmontwildlifecenter/?hl=en",,"piedmontwildlifecenter.org","http://www.ncsciencefestival.org/events/wild-weekend","Outdoor Event, Tour","Life Sciences, Environment","Teens, Families, Adults",,"04/19/2025 - 8:30am to 11:00am 04/20/2025 - 1:00pm to 1:45pm 04/20/2025 - 2:15pm to 3:00pm 04/20/2025 - 3:30pm to 4:15pm","Piedmont Wildlife Center (Leigh Farm Park)","364 Leigh Farm Road",,"Durham","North Carolina",27707,"Durham","POINT (-78.9826315 35.922771)","My event has a fee","$12/person","<p><strong>Join Piedmont Wildlife Center for a Wild Weekend!</strong></p>
<p>Looking for a fun and educational way to connect with nature? Mark your calendar for the weekend of April 19â€“20 and enjoy two fantastic bird-themed activities!</p>
<p><strong>Beginnerâ€™s Birding Class (4/19)</strong><br />
Are you 14 or older and curious about birding but unsure where to start? Join us for our Beginnerâ€™s Birding Class! Bring your binoculars and let our expert birder guide you through the essentials of birding in North Carolina.</p>
<p><strong>Birds-of-Prey Tours (4/20)</strong><br />
Prefer a more relaxed encounter with birds? Explore the incredible world of raptors on a guided Birds-of-Prey Tour. Meet the majestic birds that call the Piedmont Wildlife Center home! Participants must be 5 years or older to join.</p>
<p>Donâ€™t miss this opportunity to deepen your love for birds and nature. <a href=""https://www.ultracamp.com/info/upcomingSessions.aspx?idCamp=1403&campCode=Pwc&lnkCategory=Adult%2fFamily+Programs"">Get your tickets here!</a></p>
","https://www.ultracamp.com/info/upcomingSessions.aspx?idCamp=1403&campCode=Pwc&lnkCategory=Adult%2fFamily+Programs","In-person"
3480,"Statewide Star Party: Kiwanis Family Park","Accepted","Lee County Libraries","Library","107 Hawkins Ave",,"Sanford","North Carolina",27330,"https://www.facebook.com/LeeCountyLibrariesNC",,"@leecountylibrariesnc","library.leecountync.gov/","http://www.ncsciencefestival.org/events/statewide-star-party-kiwanis-family-park","Hands-On, Outdoor Event, Stargazing","Life Sciences, Earth & Space Sciences, Environment, Technology","Pre-K, Children, Teens, Families, Adults, Special Audience","Homeschoolers, Seniors","04/04/2025 - 7:00pm to 9:00pm","Kiwanis Family Park","1800 Wicker St",,"Sanford","North Carolina",27330,"Lee","POINT (-79.1974056 35.4727646)","FREE",,"<p>Join Lee County Libraries at Kiwanis Family Park for an evening of activities and stargazing!Â </p>
<p>With our guests from NC Cooperative Extentsion, Lee County Parks and Recreation,Â and the 4-H club, we'll have telescopes and STEAM activities including night-time pollinators!</p>
<p>Free and open to all ages!</p>
","library.leecountync.gov","In-person"
3481,"Statewide Star Party: Chatham Community Library","Accepted","Chatham Community Library","Library","197 NC Hwy 87 N",,"Pittsboro","North Carolina",27312,"https://www.facebook.com/ChathamCommunityLibrary/",,"@CCPLib","http://www.chathamlibraries.org","http://www.ncsciencefestival.org/events/statewide-star-party-chatham-community-library-1","Hands-On, Indoor Event, Outdoor Event, Stargazing","Earth & Space Sciences","Pre-K, Children, Teens, Families, Adults",,"04/05/2025 - 2:00pm to 3:30pm","Chatham Community Library","197 NC Hwy 87 N",,"Pittsboro","North Carolina",27312,"Chatham","POINT (-79.1888009 35.7236029)","FREE",,"<p>Join Chatham County Public Libraries for a FREE, fun-filled afternoon of skygazing and astronomy-themed activities.Â </p>
<p>Learn just how infinite the Universe is by creating a pocket Solar System, a scale model of the Milky Way Galaxy, and more. Hear stories, play games, and do some skygazing with a solar telescope to help you discover ""Your Place In Space.""</p>
<p>Our Star Party will happen rain or shine; however, some activities are weather dependent. Indoor activities will take place in the Holmes Family Meeting Room. All are welcome, no registration necessary.Â </p>
<p>The NC Science Festivalâ€™s annual Statewide Star Party is made possible through the generous support of theâ€¯<a href=""https://ncspacegrant.ncsu.edu/"" rel=""noreferrer noopener"" target=""_blank"">NC Space Grant</a>.</p>
","https://www.chathamcountync.gov/government/departments-programs-i-z/library/events-calendar","In-person"
3482,"LCL STEAM Career Fair","Accepted","Lee County Libraries","Library","107 Hawkins Ave",,"Sanford","North Carolina",27330,"https://www.facebook.com/LeeCountyLibrariesNC",,"@leecountylibrariesnc","library.leecountync.gov/","http://www.ncsciencefestival.org/events/lcl-steam-career-fair","Indoor Event, Performance/Talk, Expo","Health, Business & Careers, Physics, Engineering, Science & Society, Sports & Fitness","Pre-K, Children, Teens, Families, Adults",,"04/14/2025 - 1:00pm to 4:00pm","Lee County Libraries","107 Hawkins Ave",,"Sanford","North Carolina",27330,"Lee","POINT (-79.1782346 35.48234)","FREE",,"<p>Meet and learn from people who use science in their everyday lives!Â </p>
<p>We'll have a variety of professionals, from a cosmetologist, to a farmer, to a pharmacist, who will talk about their professions and how they use science in unexpected ways!Â </p>
<p>Bring children of all ages, or anyone interested in careers!Â </p>
","https://library.leecountync.gov",
3483,"Cup Tower Challenge","Accepted","Cumberland County Public Library & Information Center: West Regional Branch","Library","7469 Century Circle",,"Fayetteville","North Carolina",28306,,,"hpower",,"http://www.ncsciencefestival.org/events/cup-tower-challenge","Hands-On, Indoor Event","Art & Design, Engineering","Teens",,"04/17/2025 - 4:30pm to 5:30pm","West Regional Library","7469 Century Circle",,"Fayetteville","North Carolina",28306,"Cumberland","POINT (-79.0446808 35.0112936)","FREE",,"<p>Can you make the tallest cup tower? Come and test your engineering and design skills and see just how tall you can build your tower.Â Â </p>
<p>For more information about this program, please call 910-483-7727 ext. 1481.Â </p>
","https://cumberland.librarycalendar.com/event/cup-tower-challenge-24024","In-person"
3484,"ROCKin' Geology Party!","Accepted","North Carolina Geological Survey","Government Agency (state or local)","1612 Mail Service Center",,"Raleigh","North Carolina",27699,"facebook.com/ncdeq","instagram.com/NCDEQ/","@NCDEQ","deq.nc.gov","http://www.ncsciencefestival.org/events/rockin-geology-party-2","Hands-On, Outdoor Event","Earth & Space Sciences, Science & Society","Children, Teens, Families",,"04/12/2025 - 10:30am to 2:00pm","Crowder County Park","4709 Ten-Ten Road",,"Apex","North Carolina",27539,"Wake","POINT (-78.7653312 35.6934653)","FREE",,"<p>For those who are ready to <strong>ROCK</strong>, we salute you! (Just a little hard rock, AC/DC shoutout!)</p>
<p>Join the North Carolina Geological Survey for it's 4th annual ROCKin' Geology Party! - an event dedicated to all things geoscience. If you or your kids are rockhounds like us, this is the SciFest event for you. We'll use this year's theme of ""Science: Everday, Everywhere, Everyone"" to showcase geology in our everyday lives. You'll be astounded at how geologists and geologic resources impact our day-to-day. But don't worry, we'll have plenty of fun, too! We'll have a geology obstacle course, geology games and puzzles, volcano demonstrations, and lots more. Please visit the <a href=""https://forms.office.com/pages/responsepage.aspx?id=3IF2etC5mkSFw-zCbNftGUsDW2inHzBJqPXrjRURqwFUREhPOUdKWU1BRTRLMEpDOU4yTU9XTk1UVC4u&route=shorturl"">event website</a> to register.</p>
","https://forms.office.com/g/KysDUyFVRc","In-person"
3485,"Airplane Science","Accepted","Cumberland County Public Library & Information Center: West Regional Branch","Library","7469 Century Circle",,"Fayetteville","North Carolina",28306,,,"hpower",,"http://www.ncsciencefestival.org/events/airplane-science","Hands-On, Indoor Event","Physics, Engineering","Children, Teens, Families",,"04/29/2025 - 4:30pm to 5:30pm","West Regional Library","7469 Century Circle",,"Fayetteville","North Carolina",28306,"Cumberland","POINT (-79.0446808 35.0112936)","FREE",,"<p>How do planes stay up in the air? Come explore the science of flight and test it by making paper airplanes. Try out different styles and see which one flies the furthest.Â </p>
<p>For more information about this program, please call 910-483-7727 ext. 1481.Â </p>
","https://cumberland.librarycalendar.com/event/airplane-science-24026","In-person"
3486,"Dungeons and Dragons: Science Gone Wrong","Accepted","Cumberland County Public Library & Information Center: Bordeaux Branch","Library","3711 Village Drive",,"Fayetteville","North Carolina",28304,,,"lmilius","cumberlandcountync.gov/library","http://www.ncsciencefestival.org/events/dungeons-and-dragons-science-gone-wrong","Indoor Event","Technology","Teens",,"04/11/2025 - 4:15pm to 5:45pm","Bordeaux Library","3711 Village Dr","#1530","Fayetteville","North Carolina",28304,"Cumberland","POINT (-78.940252 35.0263456)","FREE",,"<p>If you like Dungeons and Dragons or would like to try it, come play a one-shot RPG (role-playing game) set within a sci-fi narrative. (This one will be unique as part of the premise will involve coding and robots to solve some of the problems within the story narrative.)</p>
<p>We will be playing with the Monster of the Week format as it has a simplified ruleset allowing it to take less time then a typical Dungeons and Dragons game.</p>
<p>Please contact us atÂ (910) 483-7727 ext. 1381 to register for the event</p>
",,"In-person"
3487,"STEAM and Stories: Robots","Accepted","Cumberland County Public Library & Information Center: Bordeaux Branch","Library","3711 Village Drive",,"Fayetteville","North Carolina",28304,,,"lmilius","cumberlandcountync.gov/library","http://www.ncsciencefestival.org/events/steam-and-stories-robots","Hands-On, Indoor Event","Technology","Children",,"04/16/2025 - 4:00pm to 5:00pm","Bordeaux Library","3711 Village Dr","#1530","Fayetteville","North Carolina",28304,"Cumberland","POINT (-78.940252 35.0263456)","FREE",,"<p>It's going to be a robots and circuits day! Join us for STEAM and Stories, where we explore a book from our juvenile fiction section and then complete a STEAM activity related to that book. This April, we will readÂ <em>The Wild Robot</em>Â by Peter Brown. Afterwards, we will have several robots to experiment simple coding with.Â </p>
<p>For more information about this program, please call 910-483-7727 ext. 1381.Â </p>
",,"In-person"
3488,"Foolproof Science","Accepted","Southwestern Community College","Community College","447 College Dr.","308 Bradford Hall","Sylva","North Carolina",28779,,,"@NeffStem","https://www.southwesterncc.edu/STEM","http://www.ncsciencefestival.org/events/foolproof-science","Hands-On, Indoor Event, Outdoor Event","Chemistry, Life Sciences, Earth & Space Sciences, Mathematics, Physics, Engineering, Science & Society, Environment, Food","Teens, Families, Adults","Community College Students","04/01/2025 - 10:00am to 3:00pm","Southwestern Community College","Founders Hall",,"Sylva","North Carolina",28779,"Jackson","POINT (-83.2062162 35.347901)","FREE",,"<p>All are welcome to come have fun and learn about science with us at Southwest Community College! We will build paper critters that can dance under the power of the sun, discover how the Menger Cube is unlocking new scientific discoveries, and learn about remote sensing with hands-on activities. Plus, learn how to be a Community Scientist by collecting data about plants, animals, and fungi on your campus and in your backyard.Â </p>
",,"In-person"
3489,"Statewide Star Party: Memorial Park at Lake Hampton","Accepted","Yadkin County Public Library","Library","233 E Main St","PO Box 607","Yadkinville","North Carolina",27055,"https://www.facebook.com/yadkincountypubliclibrary","https://www.instagram.com/yadkincountypubliclibrary/","@yadkinL","https://nwrl.org/yadkin/","http://www.ncsciencefestival.org/events/statewide-star-party-memorial-park-lake-hampton","Hands-On, Outdoor Event, Stargazing","Earth & Space Sciences","Children, Families, Adults",,"04/05/2025 - 7:00pm to 11:00pm","Yadkin Memorial Park at Lake Hampton","1200 Crystal Lane",,"Yadkinville","North Carolina",27055,"Yadkin","POINT (-80.7447182 36.1326637)","FREE",,"<p>Come join Yadkin County Public Library to celebrate science and astronomy! During the daylight from 7-8pm, we will have STEM and astronomy-themed crafts and activities under the picnic shelter, with possible activities including:</p>
<ul>
<li>Solar System and Beyond sorting and matching games.</li>
<li>Space-themed sensory bin.</li>
<li><em>There Was a Black Hole</em> planet maze and word hunt.</li>
<li>Chalk for drawing planets or rockets in the parking lot.</li>
<li>Solar System coloring booklet.</li>
<li>Make Your Own Planet stickers.</li>
<li>Pocket Solar System (draw it to scale on a strip of paper!)</li>
</ul>
<p>The park playground is also available to use. While the sun sets and supplies last, glow-in-the-dark stickers and glowsticks will be handed out. Around 8:45pm, once it gets dark enough to view the night sky, weâ€™ll have telescopes available for observing courtesy of the Forsyth Astronomical Society.</p>
<p>For the month of April, the Yadkin County Park StoryWalk will have the official 2025 NC Star Party book of choice on display for reading (6600 Service Road, Yadkinville, NC 27055). All events and activities will be free to attend and use.</p>
<p>The NC Science Festivalâ€™s annual Statewide Star Party is made possible through the generous support of theâ€¯<a href=""https://ncspacegrant.ncsu.edu/"" rel=""noreferrer noopener"" target=""_blank"">NC Space Grant</a>.</p>
","https://nwrl.org/yadkin/","In-person"
3490,"The Science of Bubbles","Accepted","Cumberland County Public Library & Information Center: Headquarters Branch","Library","300 Maiden Ln",,"Fayetteville","North Carolina",28301,,,,,"http://www.ncsciencefestival.org/events/science-bubbles","Hands-On, Indoor Event","Art & Design, Physics","Pre-K, Children, Families",,"04/09/2025 - 3:00pm to 4:00pm","Cumberland County Public Library - Headquarters Library","300 Maiden Ln",,"Fayetteville","North Carolina",28301,"Cumberland","POINT (-78.8812633 35.0554426)","FREE",,"<p>Come learn the science of bubbles and what makes them POP! See some awe-inspiring bubble demonstrations as you learn and make your own bubble wand to take home with you. Celebrate the everyday world of science with a bubble party.Â </p>
","https://cumberland.librarycalendar.com/event/science-bubbles-23971","In-person"
3491,"Cliffs of the Neuse State Park BioBlitz","Accepted","Cliffs of the Neuse State Park","State Park","240 Park Entrance Rd",,"Seven Springs","North Carolina",28578,,,,,"http://www.ncsciencefestival.org/events/cliffs-neuse-state-park-bioblitz","Hands-On, Outdoor Event","Earth & Space Sciences, Environment","Children, Teens, Families, Adults",,"04/15/2025 - 8:00am to 7:00pm","Cliffs of the Neuse State Park","240 Park Entrance Rd",,"Seven Springs","North Carolina",28578,"Wayne","POINT (-77.8904132 35.2356812)","FREE",,"<p>Join us at Cliffs of the Neuse State Park for our BioBlitz! This citizen science project helps us to inventory the rich diversity of species that can be found at the park. The event will last from 8am-7pm and will be self-guided by making observations in the iNaturalist app. Just come to the park and get started! Please download and familiarize yourself with the iNaturalist app before attending for the best experience. To sign up for the event, or for more information, please email rebecca.browder@ncparks.gov.</p>
",,"In-person"
3492,"Silver Screeners Movie Matinee","Accepted","Cumberland County Public Library & Information Center: Headquarters Branch","Library","300 Maiden Lane",,"Fayetteville","North Carolina",28301,,,,,"http://www.ncsciencefestival.org/events/silver-screeners-movie-matinee","Indoor Event","Science & Society","Teens",,"04/04/2025 - 3:00pm to 5:00pm","Cumberland County Public Library - Headquarters Library","300 Maiden Lane",,"Fayetteville","North Carolina",28301,"Cumberland","POINT (-78.8812633 35.0554426)","FREE",,"<p>Welcome all teen cinephiles and casual movie watchers to Silver Screeners. Join us for a snack and a movie matinee experience without the ticket price. All movie goers are welcome to enjoy the science fiction hit,Â <em>Ready Player One</em>Â (PG-13; 2018).Â </p>
","https://cumberland.librarycalendar.com/events/upcoming?branches%5B72%5D=72","In-person"
3493,"Family Trivia: They've Blinded Me with Science!","Accepted","Cumberland County Public Library & Information Center: Headquarters Branch","Library","300 Maiden Lane",,"Fayetteville","North Carolina",28301,,,,,"http://www.ncsciencefestival.org/events/family-trivia-theyve-blinded-me-science","Indoor Event","Chemistry, Earth & Space Sciences, Physics, Science & Society","Teens, Families",,"04/08/2025 - 3:00pm to 4:00pm","Cumberland County Public Library - Headquarters Library","300 Maiden Lane",,"Fayetteville","North Carolina",28301,"Cumberland","POINT (-78.8812633 35.0554426)","FREE",,"<p>Join us for an afternoon of family-friendly fun, where we compete to see who has the most knowledge of a range of subjects, includingÂ pop culture, music, history and much more.Â Each trivia night will have a different topic, and the winner(s) get a prize and bragging rights.Â </p>
<p>This month, the theme will be Science.Â We hope to see you there!Â </p>
","https://cumberland.librarycalendar.com/events/upcoming?branches%5B72%5D=72","In-person"
3494,"Bingo-Rama: Up in Space","Accepted","Cumberland County Public Library & Information Center: Headquarters Branch","Library","300 Maiden Lane",,"Fayetteville","North Carolina",28301,,,,,"http://www.ncsciencefestival.org/events/bingo-rama-space","Indoor Event","Earth & Space Sciences","Families",,"04/12/2025 - 3:00pm to 4:00pm","Cumberland County Public Library - Headquarters Library","300 Maiden Lane",,"Fayetteville","North Carolina",28301,"Cumberland","POINT (-78.8812633 35.0554426)","FREE",,"<p>Are you feeling lucky? Join us for a special spaced-themed Bingo-Rama to test your luck and prepare to battle it out with friends & family! Whether youâ€™re a bingo fan or just love a good challenge, this event is perfect for you.Â </p>
","https://cumberland.librarycalendar.com/events/upcoming?branches%5B72%5D=72","In-person"
3495,"Scott Northern Wake Tech Campus STEM Day Event","Accepted","Wake Tech Community College","Community College","6600 Louisburg Road",,"Wake Forest","North Carolina",27616,"WakeTechSTEM","WakeTechSTEM","@WakeTechSTEM","https://www.waketech.edu/about-wake-tech/divisions/mathematics-sciences-engineering/start","http://www.ncsciencefestival.org/events/scott-northern-wake-tech-campus-stem-day-event","Hands-On, Indoor Event, Outdoor Event, Expo","Chemistry, Life Sciences, Earth & Space Sciences, Mathematics, Physics, Engineering, Environment, Technology","Children, Teens, Families, Adults","College students, High school students","04/02/2025 - 10:30am to 1:30pm","Scott Northern Wake Campus, Building E, 1st floor atrium and outdoor courtyard","6600 Louisburg Road",,"Raleigh","North Carolina",27616,"Wake","POINT (-78.542394 35.8670931)","FREE",,"<p>Wake Tech will celebrateÂ science, technology, engineering and math at the springÂ STEM Day on the Scott Northern Wake Tech Campus on April 2, 2025. Join us forÂ fun and exciting exhibits and hands-on activities illustrating STEM disciplines. Dig for fossils, create a lava lamp, and make your ownÂ Petri dish soap. Learn more about STEM-related clubs, meetÂ peers with similar interests and explore STEM careers!Â </p>
","http://www.waketech.edu/about-wake-tech/divisions/mathematics-sciences-engineering/start","In-person"
